Date,AAPL,AMZN,JNJ,JPM,KO,MSFT,NVDA,PG,TSLA,XOM,^GSPC
2021-02-16,129.7264862060547,163.44749450683594,143.21287536621094,127.38261413574219,43.24967575073242,233.8397979736328,15.287260055541992,112.75791931152344,265.40667724609375,42.96871566772461,3932.590087890625
2021-02-17,127.43759155273438,165.4320068359375,143.72474670410156,127.7789535522461,43.129249572753906,234.85926818847656,14.864197731018066,113.23393249511719,266.04998779296875,43.63751983642578,3931.330078125
2021-02-18,126.33699798583984,166.4114990234375,143.79415893554688,128.21043395996094,43.67985916137695,234.4649658203125,14.78741455078125,114.1771011352539,262.4599914550781,42.95220947265625,3913.969970703125
2021-02-19,126.49279022216797,162.4949951171875,141.3996124267578,130.35032653808594,43.11204147338867,231.7528076171875,14.88464069366455,112.05274200439453,260.4333190917969,43.24119567871094,3906.7099609375
2021-02-22,122.72343444824219,159.03700256347656,141.31231689453125,131.57443237304688,43.559417724609375,225.5399169921875,14.315492630004883,111.5767593383789,238.1666717529297,44.83476638793945,3876.5
2021-02-23,122.58710479736328,159.72500610351562,140.06394958496094,132.6311798095703,43.481971740722656,224.3473358154297,14.102340698242188,112.40534210205078,232.94667053222656,45.454044342041016,3881.3701171875
2021-02-24,122.09034729003906,157.97650146484375,141.9408721923828,134.96484375,43.62824249267578,225.57838439941406,14.458338737487793,112.52874755859375,247.33999633789062,46.81641387939453,3925.429931640625
2021-02-25,117.84373474121094,152.85800170898438,142.08932495117188,133.13316345214844,43.16365432739258,220.23104858398438,13.270182609558105,111.5767593383789,227.4066619873047,46.04026794433594,3829.340087890625
2021-02-26,118.10669708251953,154.64649963378906,138.33543395996094,129.60182189941406,42.1484489440918,223.49142456054688,13.67603874206543,108.88827514648438,225.1666717529297,44.89257049560547,3811.14990234375
2021-03-01,124.46690368652344,157.3070068359375,139.086181640625,132.5343017578125,42.931365966796875,227.87701416015625,13.802934646606445,109.55819702148438,239.47666931152344,46.56871795654297,3901.820068359375
2021-03-02,121.8663101196289,154.72650146484375,138.82431030273438,132.10276794433594,43.10343551635742,224.92440795898438,13.368654251098633,109.21440124511719,228.81333923339844,46.29623031616211,3870.2900390625
2021-03-03,118.88591003417969,150.25,136.37989807128906,134.65663146972656,43.00018310546875,218.85574340820312,12.768841743469238,108.56214141845703,217.73333740234375,46.66780471801758,3819.719970703125
2021-03-04,117.006103515625,148.8784942626953,133.6299285888672,132.58718872070312,42.96577072143555,218.0574951171875,12.335558891296387,107.67184448242188,207.14666748046875,48.476043701171875,3768.469970703125
2021-03-05,118.26254272460938,150.0229949951172,136.27513122558594,132.8953857421875,43.69707489013672,222.7412567138672,12.426552772521973,111.04789733886719,199.31666564941406,50.3090705871582,3841.93994140625
2021-03-08,113.3341293334961,147.59750366210938,137.41004943847656,134.65663146972656,44.428367614746094,218.6922607421875,11.560738563537598,112.22022247314453,187.6666717529297,50.259525299072266,3821.35009765625
2021-03-09,117.94111633300781,153.1425018310547,137.67189025878906,133.70555114746094,43.757293701171875,224.83787536621094,12.489450454711914,111.22417449951172,224.52667236328125,49.483375549316406,3875.43994140625
2021-03-10,116.85999298095703,152.8820037841797,138.93775939941406,136.61163330078125,44.25629806518555,223.52987670898438,12.437576293945312,112.24667358398438,222.68666076660156,51.00264358520508,3898.81005859375
2021-03-11,118.78848266601562,155.67950439453125,138.92901611328125,135.89833068847656,43.77450942993164,228.0597381591797,12.961533546447754,111.86763763427734,233.1999969482422,50.62282943725586,3939.340087890625
2021-03-12,117.8826675415039,154.47450256347656,139.33058166503906,137.50987243652344,43.68775939941406,226.73251342773438,12.824373245239258,112.95185852050781,231.2433319091797,51.16778564453125,3943.340087890625
2021-03-15,120.76570892333984,154.08399963378906,140.04647827148438,136.8229522705078,44.26898193359375,225.82846069335938,13.158797264099121,113.32206726074219,235.97999572753906,49.863197326660156,3968.93994140625
2021-03-16,122.30462646484375,154.59300231933594,140.87583923339844,135.1850128173828,44.43381881713867,228.61753845214844,13.258551597595215,113.65704345703125,225.6266632080078,48.80632400512695,3962.7099609375
2021-03-17,121.51569366455078,156.7864990234375,140.35205078125,136.5763702392578,44.4511604309082,227.97312927246094,13.308427810668945,113.19866943359375,233.93666076660156,49.0210075378418,3974.1201171875
2021-03-18,117.39567565917969,151.39950561523438,140.09014892578125,138.830810546875,43.86992263793945,221.89491271972656,12.691198348999023,113.44548797607422,217.72000122070312,46.90724563598633,3915.4599609375
2021-03-19,116.8697280883789,153.7480010986328,139.71473693847656,136.62042236328125,44.0781364440918,221.53904724121094,12.814148902893066,112.8372802734375,218.2899932861328,46.64302062988281,3913.10009765625
2021-03-22,120.18132019042969,155.5435028076172,140.11631774902344,132.94822692871094,44.24296188354492,226.96334838867188,13.15381145477295,114.75005340576172,223.3333282470703,46.164127349853516,3940.590087890625
2021-03-23,119.3534164428711,156.875,139.9853973388672,131.61846923828125,44.58128356933594,228.49249267578125,13.038594245910645,116.88323211669922,220.72000122070312,45.594398498535156,3910.52001953125
2021-03-24,116.96711730957031,154.35350036621094,141.34722900390625,132.63998413085938,44.694061279296875,226.4535675048828,12.611897468566895,116.84795379638672,210.08999633789062,46.51917266845703,3889.139892578125
2021-03-25,117.45411682128906,152.31300354003906,141.3996124267578,134.3395538330078,45.1278190612793,223.45291137695312,12.504409790039062,117.65889739990234,213.4633331298828,46.38706588745117,3909.52001953125
2021-03-26,118.05802154541016,152.60150146484375,143.98370361328125,136.5763702392578,46.012672424316406,227.4345703125,12.807663917541504,119.39542388916016,206.23666381835938,47.65035629272461,3974.5400390625
